"Lake","trip","sigma","TS","length"
"Cherry","2013-10",0.000188677663646724,-37.242795101644,19.147296740988
"Cherry","2014-04",7.72550299592726e-05,-41.1207323471943,11.2663113217079
"Cherry","2014-06",7.45608328913945e-05,-41.2748924928449,12.1204097305162
"Cherry","2014-09",8.24326516540512e-05,-40.8390072975474,11.9069721959538
"Eleanor","2013-10",0.000104845714778634,-39.7944931518457,12.6574241850275
"Eleanor","2014-04",0.000130771422254389,-38.8348715290199,15.6117302416525
"Eleanor","2014-06",0.000118523386398904,-39.2619594854073,13.7336128533429
"Eleanor","2014-09",0.000170225889616432,-37.6897438748008,17.8174337683939
"Independence","2013-10",5.77293520033987e-06,-52.386033173139,4.83914907397332
"Tahoe","2013-10",0.000179837881321644,-37.4511882252417,17.6642631143269
